LastFire,Assessment_Year,ObsAreaKm2_AgnesBanksWoodSydney,ObsAreaKm2_BlueGumSydney,ObsAreaKm2_CumbWoodSydney,ObsAreaKm2_EldersBanksiaSydney,ObsAreaKm2_TurpIronForSydney
2006,2016,0,0,0.4927003738834901,0.007453691195327789,0
2007,2016,0,0,0.017117660309910774,0,0
2008,2016,0,0,0.20069362333434201,0,0.020987310918870905
2009,2016,0,0,0.37091565879601335,0,2.3495407363000232e-4
2010,2016,0,0,0.29799753430759895,0,0
2012,2016,0,0,0.19683845206547707,0,0
2014,2016,0,0,0.47577526711367024,0,0
2015,2016,0,0,0.30814297564729864,0,0.01617318430879987
2012,2014,0,0,0.19687259938953738,0,0
2010,2014,0,0,0.35422632092766526,0,0
2009,2014,0,0,0.3745832374265733,0,2.3626228333237486e-4
2008,2014,0,0,0.20435509577372496,0,0.02098514850491617
2007,2014,0,0,0.017115160309940577,0,0
2006,2014,0,0,0.9386403706070473,0.007453691195327789,0
1998,2014,0,0,0.012239992885664106,0,0
1996,2014,0,0,0.4653509191232251,0,0
1994,2014,0,0,0.05290362435648893,0,8.290736258446704e-4
1991,2014,0,0,0.03633984986240987,0,0
1988,2014,0,0,0.0012114702892783097,0,0
1984,2014,0,0,0.22075999399404247,0,7.569796575912623e-4
1982,2014,0,0,0.07588361936867423,0,0
1974,2014,0,0,0.03466070835552411,0,0
1968,2014,0,0,0.09548751315705048,0,8.963117359485477e-5
2010,2012,0,0,0.35513292482899517,0,0
2009,2012,0,0,0.40012641086461104,0,2.3626228333237486e-4
2008,2012,0,0,0.2242016172761683,0,0.02098514850491617
2007,2012,0,0,0.017115160309962928,0,0
2006,2012,0,0,1.0009412777891915,0.007453691195327789,0
1998,2012,0,0,0.012239992885664106,0,0
1996,2012,0,0,0.4653509191232298,0,0
1994,2012,0,0,0.05290362435648893,0,8.290736258446704e-4
1991,2012,0,0,0.03633984986240987,0,0
1988,2012,0,0,0.0012114702892783097,0,0
1984,2012,0,0,0.22075999399404247,0,7.569796575912623e-4
1982,2012,0,0,0.07588361936867423,0,0
1974,2012,0,0,0.03466070835552411,0,0
1968,2012,0,0,0.09548751315705048,0,8.963117359485477e-5
1968,2010,0,0,0.09548708050480945,0,9.73798654442653e-5
1974,2010,0,0,0.03453998731485242,0,0
1982,2010,0,0,0.07587568796367349,0,0
1984,2010,0,0,0.22084281621661733,0,7.118403566816123e-4
1988,2010,0,0,0.0012114702892783097,0,0
1991,2010,0,0,0.03633984986240987,0,0
1994,2010,0,0,0.05290673273885716,0,8.251640770547092e-4
1996,2010,0,0,0.4653501335980643,0,0
1998,2010,0,0,0.026513072996580973,0,0
2006,2010,0,0,1.0311080586980135,0.007453691195327789,0
2007,2010,0,0,0.017117660309910774,0,0
2008,2010,0,0,0.22424197535781734,0,0.020987310918870905
2009,2010,0,0,0.4462569466712861,0,2.3495407363000232e-4
1979,2020,0,0,0,0,0.004478680428392079
1981,2020,0,0,0,0,0.001669225012891373
1990,2020,0,0,0,0,0.004571033029460727
1979,2018,0,0,0,0,0.004478680428392079
1981,2018,0,0,0,0,0.001669225012891373
1990,2018,0,0,0,0,0.004571033029460727
1979,2016,0,0,0,0,0.004478680428392079
1981,2016,0,0,0,0,0.001669225012891373
1990,2016,0,0,0,0,0.004571033029460727
1990,2014,0,0,0,0,0.0045710330295218446
1981,2014,0,0,0,0,0.0017103565800909418
1979,2014,0,0,0,0,0.0044852558346784935
1990,2012,0,0,0,0,0.0045710330295218446
1981,2012,0,0,0,0,0.0017103565800909418
1979,2012,0,0,0,0,0.0044852558346784935
1979,2010,0,0,0,0,0.004478680428392079
1981,2010,0,0,0,0,0.001669225012892537
1990,2010,0,0,0,0,0.004571033029460727
